T_mid,Uncertainty,Label,Reference,Epoch,Valid,T_mid_pre
2456514.4106,0.0001,Others,2017A&A...604A.110A,0,True,2456514.4106708067
2457584.32975,1.1e-05,Others,2017MNRAS.469.1622M,187,True,2457584.32974303
2457904.73315165,4.65414486825466e-05,HST,Ma et al. 2024,243,True,2457904.7332171802
2457910.45465204,4.581268876791e-05,HST,Ma et al. 2024,244,True,2457910.4547073785
2458579.86858,0.0004288,TESS,Ivshina & Winn 2022,361,True,2458579.8689608504
2458591.3117,0.0003547,TESS,Ivshina & Winn 2022,363,True,2458591.311937823
2459958.7472954667,2.6821435312740505e-05,JWST,This Work,602,True,2459958.747270085
2459964.4687631093,1.5492048987653106e-05,JWST,This Work,603,True,2459964.4687550976
2460107.5058620293,9.6392e-06,JWST,This Work,628,True,2460107.505875714
2460118.948866972,4.24554746132344e-05,JWST,This Work,630,True,2460118.9488449735
2460130.391898555,3.379942063475028e-05,JWST,This Work,632,True,2460130.391814175
