# rej_sigma = 5
# Rejection = 0.0006723521712242595
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456514.4106708067,2456514.4115118524,-0.0008410457521677017,-0.00016869358094344226,-0.001513397923391961
1,2456520.1321645146,2456520.1329997336,-0.00083521893247962,-0.00016286676125536052,-0.0015075711037038793
2,2456525.853658208,2456525.8544876147,-0.0008294065482914448,-0.00015705437706718531,-0.0015017587195157041
3,2456531.5751518873,2456531.575975496,-0.0008236085996031761,-0.00015125642837891665,-0.0014959607708274355
4,2456537.296645552,2456537.297463377,-0.000817825086414814,-0.00014547291519055453,-0.0014901772576390734
5,2456543.018139202,2456543.018951258,-0.0008120560087263584,-0.00013970383750209895,-0.0014844081799506178
6,2456548.739632838,2456548.7404391393,-0.0008063013665378094,-0.0001339491953135499,-0.0014786535377620687
7,2456554.4611264593,2456554.4619270205,-0.0008005611598491669,-0.0001282089886249074,-0.0014729133310734262
8,2456560.182620066,2456560.1834149016,-0.0007948353886604309,-0.00012248321743617144,-0.0014671875598846903
9,2456565.9041136587,2456565.9049027828,-0.0007891240529716015,-0.00011677188174734202,-0.0014614762241958608
10,2456571.6256072368,2456571.626390664,-0.0007834271527826786,-0.00011107498155841914,-0.001455779324006938
11,2456577.3471008004,2456577.347878545,-0.0007777446880936623,-0.0001053925168694028,-0.0014500968593179216
12,2456583.0685943495,2456583.069366426,-0.0007720766589045525,-9.9724487680293e-05,-0.0014444288301288118
13,2456588.7900878843,2456588.7908543074,-0.0007664230652153492,-9.407089399108973e-05,-0.0014387752364396086
14,2456594.5115814046,2456594.5123421885,-0.0007607839070260525,-8.843173580179301e-05,-0.0014331360782503118
15,2456600.2330749105,2456600.2338300697,-0.0007551591843366623,-8.280701311240283e-05,-0.0014275113555609216
16,2456605.954568402,2456605.955317951,-0.0007495488971471786,-7.719672592291919e-05,-0.001421901068371438
17,2456611.676061879,2456611.676805832,-0.0007439530454576015,-7.160087423334208e-05,-0.001416305216681861
18,2456617.3975553415,2456617.398293713,-0.000738371629267931,-6.601945804367152e-05,-0.0014107238004921903
19,2456623.1190487896,2456623.1197815943,-0.000732804648578167,-6.04524773539075e-05,-0.0014051568198024263
20,2456628.8405422233,2456628.8412694754,-0.0007272521033883095,-5.4899932164050014e-05,-0.0013996042746125688
21,2456634.5620356426,2456634.5627573566,-0.0007217139936983585,-4.936182247409907e-05,-0.001394066164922618
22,2456640.2835290474,2456640.2842452377,-0.0007161903195083141,-4.383814828405467e-05,-0.0013885424907325735
23,2456646.005022438,2456646.005733119,-0.0007106810808181763,-3.8328909593916805e-05,-0.0013830332520424356
24,2456651.7265158137,2456651.727221,-0.000705186277627945,-3.283410640368548e-05,-0.0013775384488522043
25,2456657.4480091752,2456657.448708881,-0.0006997059099376202,-2.73537387133607e-05,-0.0013720580811618795
26,2456663.1695025223,2456663.1701967623,-0.0006942399777472019,-2.1887806522942455e-05,-0.0013665921489714613
27,2456668.890995855,2456668.8916846435,-0.0006887884810566902,-1.643630983243075e-05,-0.0013611406522809496
28,2456674.612489173,2456674.6131725246,-0.000683351419866085,-1.0999248641825588e-05,-0.0013557035910903444
29,2456680.333982477,2456680.3346604058,-0.0006779287941753864,-5.576622951126964e-06,-0.0013502809653996458
30,2456686.0554757663,2456686.056148287,-0.0006725206039845943,-1.684327603348806e-07,-0.0013448727752088537
31,2456691.776969041,2456691.777636168,-0.0006671268492937088,5.225321930550663e-06,-0.0013394790205179682
32,2456697.4984623017,2456697.499124049,-0.0006617475301027298,1.0604641121529667e-05,-0.0013340997013269892
