T_mid,Uncertainty,Label,Reference,Epoch
2456514.4106,0.0001,Others,2017A&A...604A.110A,0
2457584.32975,1.1e-05,Others,2017MNRAS.469.1622M,187
2457904.73315165,4.65414486825466e-05,HST,Ma et al. 2024,243
2457910.45465204,4.581268876791e-05,HST,Ma et al. 2024,244
2458579.86858,0.0004288,TESS,Ivshina & Winn 2022,361
2458591.3117,0.0003547,TESS,Ivshina & Winn 2022,363
2459958.7472954667,2.6821435312740505e-05,JWST,This Work,602
2459964.4687631093,1.5492048987653106e-05,JWST,This Work,603
2460107.5058620293,9.6392e-06,JWST,This Work,628
2460118.9488669713,4.24554746132344e-05,JWST,This Work,630
2460130.391898555,3.379942063475028e-05,JWST,This Work,632
