# rej_sigma = 5
# Rejection = 0.0006729171361525802
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456514.410670841,2456514.411511888,-0.0008410466834902763,-0.00016812954733769615,-0.0015139638196428565
1,2456520.1321645477,2456520.1329997685,-0.0008352207951247692,-0.00016230365897218903,-0.0015081379312773494
2,2456525.85365824,2456525.854487649,-0.0008294093422591686,-0.00015649220610658844,-0.0015023264784117488
3,2456531.5751519175,2456531.57597553,-0.0008236123248934746,-0.0001506951887408944,-0.0014965294610460548
4,2456537.296645581,2456537.2974634105,-0.0008178297430276871,-0.0001449126068751069,-0.0014907468791802673
5,2456543.0181392296,2456543.018951291,-0.0008120615966618061,-0.00013914446050922592,-0.0014849787328143863
6,2456548.739632864,2456548.740439172,-0.0008063078857958317,-0.0001333907496432515,-0.0014792250219484119
7,2456554.461126484,2456554.4619270526,-0.0008005686104297638,-0.0001276514742771836,-0.001473485746582344
8,2456560.1826200895,2456560.1834149333,-0.0007948437705636024,-0.00012192663441102226,-0.0014677609067161826
9,2456565.9041136806,2456565.904902814,-0.0007891333661973476,-0.00011621623004476746,-0.0014620505023499278
10,2456571.6256072572,2456571.6263906946,-0.0007834373973309994,-0.00011052026117841919,-0.0014563545334835796
11,2456577.3471008195,2456577.3478785753,-0.0007777558639645576,-0.00010483872781197746,-0.0014506730001171378
12,2456583.0685943672,2456583.069366456,-0.0007720887660980225,-9.917162994544228e-05,-0.0014450059022506026
13,2456588.7900879006,2456588.7908543367,-0.0007664361037313938,-9.351896757881363e-05,-0.001439353239883974
14,2456594.5115814195,2456594.5123422174,-0.0007607978768646717,-8.788074071209152e-05,-0.001433715013017252
15,2456600.233074924,2456600.233830098,-0.0007551740854978561,-8.225694934527595e-05,-0.0014280912216504363
16,2456605.954568414,2456605.9553179787,-0.0007495647296309471,-7.664759347836693e-05,-0.0014224818657835273
17,2456611.6760618896,2456611.6768058594,-0.0007439698092639446,-7.105267311136444e-05,-0.0014168869454165248
18,2456617.397555351,2456617.39829374,-0.0007383893243968487,-6.547218824426849e-05,-0.0014113064605494289
19,2456623.119048797,2456623.119781621,-0.0007328237406909466,-5.9906604538366394e-05,-0.0014057408768435268
20,2456628.840542229,2456628.8412695015,-0.000727272592484951,-5.4355456332370834e-05,-0.0014001897286375312
21,2456634.5620356463,2456634.562757382,-0.000721735879778862,-4.8818743626281814e-05,-0.0013946530159314422
22,2456640.2835290493,2456640.284245263,-0.0007162136025726795,-4.3296466420099334e-05,-0.0013891307387252597
23,2456646.005022438,2456646.0057331435,-0.0007107057608664036,-3.7788624713823394e-05,-0.0013836228970189838
24,2456651.726515812,2456651.727221024,-0.0007052123546600342,-3.2295218507453994e-05,-0.0013781294908126144
25,2456657.4480091715,2456657.448708905,-0.0006997333839535713,-2.6816247800991134e-05,-0.0013726505201061515
26,2456663.1695025167,2456663.1701967856,-0.000694268848747015,-2.1351712594434814e-05,-0.0013671859848995952
27,2456668.8909958475,2456668.8916846663,-0.0006888187490403652,-1.5901612887785034e-05,-0.0013617358851929454
28,2456674.612489164,2456674.613172547,-0.000683383084833622,-1.0465948681041793e-05,-0.0013563002209862022
29,2456680.333982466,2456680.3346604276,-0.0006779618561267853,-5.044719974205093e-06,-0.0013508789922793655
30,2456686.0554757533,2456686.0561483083,-0.0006725550629198551,3.620732327250676e-07,-0.0013454721990724353
31,2456691.7769690263,2456691.777636189,-0.0006671627052128315,5.754430939748688e-06,-0.0013400798413654117
32,2456697.498462285,2456697.4991240697,-0.0006617847830057144,1.1132353146865769e-05,-0.0013347019191582946
33,2456703.219955529,2456703.2206119504,-0.0006564212962985039,1.649583985407631e-05,-0.001329338432451084
34,2456708.941448759,2456708.942099831,-0.0006510722450911999,2.184489106138031e-05,-0.00132398938124378
35,2456714.662941974,2456714.6635877118,-0.0006457376293838024,2.717950676877777e-05,-0.0013186547655363826
36,2456720.384435175,2456720.3850755924,-0.0006404174491763115,3.249968697626869e-05,-0.0013133345853288917
37,2456726.1059283614,2456726.106563473,-0.0006351117044687271,3.7805431683853074e-05,-0.0013080288406213073
38,2456731.8274215334,2456731.828051354,-0.0006298203952610493,4.3096740891530915e-05,-0.0013027375314136295
39,2456737.548914691,2456737.5495392345,-0.000624543521553278,4.8373614599302216e-05,-0.0012974606577058582
40,2456743.270407834,2456743.271027115,-0.0006192810833454132,5.363605280716698e-05,-0.0012921982194979934
41,2456748.991900963,2456748.992514996,-0.000614033080637455,5.88840555151252e-05,-0.0012869502167900352
42,2456754.713394077,2456754.7140028765,-0.0006087995134294033,6.411762272317688e-05,-0.0012817166495819835
43,2456760.434887177,2456760.435490757,-0.0006035803817212582,6.933675443132202e-05,-0.0012764975178738383
44,2456766.156380262,2456766.156978638,-0.0005983756855130196,7.454145063956062e-05,-0.0012712928216655997
45,2456771.877873333,2456771.8784665186,-0.0005931854248046875,7.973171134789269e-05,-0.0012661025609572677
46,2456777.5993663897,2456777.5999543993,-0.000588009599596262,8.490753655631821e-05,-0.0012609267357488422
47,2456783.3208594318,2456783.32144228,-0.000582848209887743,9.006892626483719e-05,-0.0012557653460403232
48,2456789.0423524594,2456789.0429301606,-0.0005777012556791306,9.521588047344963e-05,-0.0012506183918317107
49,2456794.7638454726,2456794.7644180413,-0.0005725687369704247,0.00010034839918215553,-0.0012454858731230048
50,2456800.4853384714,2456800.485905922,-0.0005674506537616253,0.0001054664823909549,-0.0012403677899142055
51,2456806.2068314557,2456806.2073938027,-0.0005623470060527325,0.00011057013009984772,-0.0012352641422053127
52,2456811.9283244256,2456811.9288816834,-0.0005572577938437462,0.000115659342308834,-0.0012301749299963264
53,2456817.649817381,2456817.650369564,-0.0005521830171346664,0.00012073411901791374,-0.0012251001532872466
54,2456823.371310322,2456823.3718574448,-0.0005471226759254932,0.00012579446022708695,-0.0012200398120780734
55,2456829.0928032487,2456829.0933453254,-0.0005420767702162266,0.0001308403659363536,-0.0012149939063688068
56,2456834.814296161,2456834.814833206,-0.0005370453000068665,0.00013587183614571373,-0.0012099624361594466
57,2456840.5357890585,2456840.536321087,-0.0005320282652974129,0.0001408888708551673,-0.001204945401449993
58,2456846.257281942,2456846.2578089675,-0.0005270256660878658,0.00014589147006471436,-0.001199942802240446
59,2456851.9787748107,2456851.979296848,-0.0005220375023782253,0.00015087963377435486,-0.0011949546385308055
60,2456857.700267665,2456857.700784729,-0.0005170637741684914,0.00015585336198408882,-0.0011899809103210715
61,2456863.421760505,2456863.4222726095,-0.0005121044814586639,0.00016081265469391624,-0.0011850216176112441
62,2456869.1432533306,2456869.14376049,-0.0005071596242487431,0.00016575751190383713,-0.0011800767604013232
63,2456874.8647461417,2456874.865248371,-0.0005022292025387287,0.00017068793361385147,-0.001175146338691309
64,2456880.5862389384,2456880.5867362516,-0.0004973132163286209,0.00017560391982395927,-0.001170230352481201
65,2456886.3077317206,2456886.3082241323,-0.0004924116656184196,0.00018050547053416054,-0.0011653288017709998
66,2456892.0292244884,2456892.029712013,-0.0004875245504081249,0.00018539258574445526,-0.0011604416865607051
67,2456897.750717242,2456897.7511998937,-0.00048265187069773674,0.00019026526545484345,-0.001155569006850317
68,2456903.4722099807,2456903.4726877743,-0.0004777936264872551,0.0001951235096653251,-0.0011507107626398353
69,2456909.193702705,2456909.194175655,-0.00047294981777668,0.0001999673183759002,-0.0011458669539292602
70,2456914.9151954153,2456914.9156635357,-0.00046812044456601143,0.00020479669158656876,-0.0011410375807185916
71,2456920.636688111,2456920.6371514164,-0.0004633055068552494,0.00020961162929733078,-0.0011362226430078296
72,2456926.3581807916,2456926.358639297,-0.00045850547030568123,0.00021441166584689896,-0.0011314226064582614
73,2456932.079673458,2456932.0801271778,-0.0004537198692560196,0.0002191972668965606,-0.0011266370054085998
74,2456937.8011661097,2456937.8016150584,-0.0004489487037062645,0.0002239684324463157,-0.0011218658398588447
75,2456943.522658747,2456943.523102939,-0.00044419197365641594,0.00022872516249616425,-0.0011171091098089961
76,2456949.24415137,2456949.24459082,-0.0004394496791064739,0.00023346745704610626,-0.001112366815259054
77,2456954.9656439787,2456954.9660787005,-0.00043472182005643845,0.00023819531609614174,-0.0011076389562090186
78,2456960.687136573,2456960.687566581,-0.0004300083965063095,0.00024290873964627068,-0.0011029255326588897
79,2456966.4086291525,2456966.409054462,-0.0004253094084560871,0.0002476077276964931,-0.0010982265446086673
80,2456972.1301217177,2456972.1305423426,-0.00042062485590577126,0.00025229228024680893,-0.0010935419920583514
81,2456977.8516142685,2456977.8520302232,-0.00041595473885536194,0.00025696239729721825,-0.0010888718750079421
82,2456983.573106805,2456983.573518104,-0.00041129905730485916,0.000261618078847721,-0.0010842161934574393
83,2456989.294599327,2456989.2950059846,-0.0004066578112542629,0.00026625932489831726,-0.0010795749474068431
84,2456995.0160918343,2456995.0164938653,-0.0004020310007035732,0.00027088613544900696,-0.0010749481368561534
85,2457000.7375843273,2457000.737981746,-0.00039741862565279007,0.0002754985104997901,-0.0010703357618053703
86,2457006.459076806,2457006.4594696267,-0.00039282068610191345,0.00028009645005066673,-0.0010657378222544936
87,2457012.18056927,2457012.1809575073,-0.0003882371820509434,0.0002846799541016368,-0.0010611543182035236
88,2457017.90206172,2457017.902445388,-0.00038366811349987984,0.00028924902265270035,-0.00105658524965246
89,2457023.623554155,2457023.6239332687,-0.00037911348044872284,0.00029380365570385735,-0.001052030616601303
90,2457029.345046576,2457029.3454211494,-0.0003745732828974724,0.0002983438532551078,-0.0010474904190500526
91,2457035.0665389826,2457035.06690903,-0.00037004752084612846,0.0003028696153064517,-0.0010429646569987086
92,2457040.7880313746,2457040.7883969108,-0.0003655361942946911,0.0003073809418578891,-0.0010384533304472713
93,2457046.509523752,2457046.5098847914,-0.00036103930324316025,0.00031187783290941994,-0.0010339564393957404
94,2457052.2310161153,2457052.231372672,-0.00035655684769153595,0.00031636028846104424,-0.0010294739838441161
95,2457057.952508464,2457057.952860553,-0.0003520888276398182,0.000320828308512762,-0.0010250059637923984
96,2457063.6740007983,2457063.6743484335,-0.000347635243088007,0.0003252818930645732,-0.0010205523792405872
97,2457069.395493118,2457069.395836314,-0.0003431960940361023,0.0003297210421164779,-0.0010161132301886825
